LPERMNO,fyear,prcc_f,ajex,adjust_prccf,prcc_pcchg
11368,2009,11.4,1.5,17.1,0.993006993
11368,2010,9.4001,1.5,14.10015,-0.175429825
11368,2011,9.55,1.5,14.325,0.015946639
11368,2012,9.499,1.5,14.2485,-0.005340314
11368,2013,12.1,1.5,18.15,0.273818297
11368,2014,24.6,1.5,36.9,1.033057851
11368,2015,24.16,1.5,36.24,-0.017886179
11368,2016,20.1703,1.5,30.25545,-0.165136589
11368,2017,25.3,1.5,37.95,0.25431947
11368,2018,30.19,1.5,45.285,0.193280632
11368,2019,12.51,1,12.51,-0.723749586
11368,2020,23.77,1,23.77,0.900079936
11456,2006,0.73,0.05,0.0365,
11456,2007,2.37,0.125,0.29625,7.116438356
11456,2008,1.4,0.125,0.175,-0.4092827
11456,2009,0.4099,0.125,0.0512375,-0.707214286
11456,2010,0.216,0.125,0.027,-0.473042205
11456,2011,1.95,1,1.95,71.22222222
28804,2006,39.5,4,158,
28804,2007,25.01,4,100.04,-0.366835443
28804,2008,29.25,4,117,0.169532187
28804,2009,34.56,4,138.24,0.181538462
28804,2010,56.69,4,226.76,0.640335648
28804,2011,75.09,4,300.36,0.324572235
28804,2012,43.09,2,86.18,-0.71307764
28804,2013,73.37,2,146.74,0.702715247
28804,2014,59.76,1,59.76,-0.59274908
28804,2015,80.51,1,80.51,0.347222222
28804,2016,88.73,1,88.73,0.102099118
28804,2017,73.51,1,73.51,-0.171531613
28804,2018,60.85,1,60.85,-0.172221466
28804,2019,67.75,1,67.75,0.113393591
28804,2020,52,1,52,-0.232472325
28804,2021,52.1,1,52.1,0.001923077
11587,2006,77.74,1,77.74,
11587,2007,125,1,125,0.607923849
11587,2008,97.1,1,97.1,-0.2232
11587,2009,155.72,1,155.72,0.603707518
11587,2010,179.46,1,179.46,0.152453121
11587,2011,240.23,1,240.23,0.338626992
11587,2012,196,1,196,-0.184115223
11587,2013,296.25,1,296.25,0.511479592
11587,2014,340.01,1,340.01,0.14771308
11587,2015,381.2,1,381.2,0.121143496
11587,2016,507.2,1,507.2,0.330535152
11587,2017,630.6,1,630.6,0.24329653
11587,2018,741.08,1,741.08,0.175198224
11587,2019,751.5,1,751.5,0.01406056
11587,2020,642.24,1,642.24,-0.145389222
11587,2021,704.9,1,704.9,0.097564773
42083,2006,50.59,1,50.59,
42083,2007,24.79,1,24.79,-0.50998221
42083,2008,27.24,1,27.24,0.098830173
42083,2009,27.68,1,27.68,0.016152717
42083,2010,37.65,1,37.65,0.360187861
24264,2006,48.74,1,48.74,
48514,2006,13.44,1,13.44,
48514,2007,12.85,1,12.85,-0.04389881
48514,2008,17.01,1,17.01,0.323735409
11691,2006,44.34,1,44.34,
11691,2007,51.66,1,51.66,0.165087957
11691,2008,25.06,1,25.06,-0.514905149
11691,2009,34.23,1,34.23,0.365921788
11691,2010,40.03,1,40.03,0.16944201
11691,2011,40.82,1,40.82,0.019735199
11691,2012,24.72,1,24.72,-0.394414503
11691,2013,26.11,1,26.11,0.056229773
11691,2014,34.52,1,34.52,0.322098813
11691,2015,42.63,1,42.63,0.234936269
11691,2016,35.39,1,35.39,-0.169833451
11691,2017,29.84,1,29.84,-0.156823962
11691,2018,32.02,1,32.02,0.0730563
11691,2019,40.8,1,40.8,0.274203623
11691,2020,56.97,1,56.97,0.396323529
11691,2021,90.03,1,90.03,0.580305424
49330,2006,419.65,1,419.65,
49330,2007,353.25,1,353.25,-0.158227094
49330,2008,254.9,1,254.9,-0.27841472
49330,2009,304.42,1,304.42,0.194272264
49330,2010,412.28,1,412.28,0.35431312
49330,2011,370.03,1,370.03,-0.102478898
49330,2012,330.8,1,330.8,-0.106018431
49330,2013,330,1,330,-0.00241838
49330,2014,437.18,1,437.18,0.324787879
49330,2015,384.11,1,384.11,-0.121391646
49330,2016,426.87,1,426.87,0.111322277
49330,2017,395.85,1,395.85,-0.072668494
49330,2018,304.74,1,304.74,-0.230162941
49330,2019,330.35,1,330.35,0.084038853
49330,2020,277.35,1,277.35,-0.160435901
49330,2021,260.3,1,260.3,-0.061474671
11739,2006,2,1,2,
11739,2007,2.16,1,2.16,0.08
11739,2008,0.59,1,0.59,-0.726851852
11790,2006,58.78,1,58.78,
11790,2007,51.15,1,51.15,-0.129806056
11790,2008,47.43,1,47.43,-0.072727273
11790,2009,29.39,1,29.39,-0.380349989
11790,2010,23.24,1,23.24,-0.209254849
11790,2011,19.64,1,19.64,-0.154905336
11790,2012,31.23,1,31.23,0.5901222
11790,2013,41.17,1,41.17,0.318283702
11790,2014,38.1,1,38.1,-0.074568861
11790,2015,40.59,1,40.59,0.065354331
11790,2016,26.86,1,26.86,-0.338260655
11790,2017,34.15,1,34.15,0.271407297
11790,2018,33.8,1,33.8,-0.010248902
11790,2019,34.02,1,34.02,0.006508876
11790,2020,28.62,1,28.62,-0.158730159
11790,2021,34.24,1,34.24,0.196366177
71271,2006,363.6,1.1041,401.45076,
71271,2007,402,1.0824,435.1248,0.083880872
71271,2008,282,1.0612,299.2584,-0.312246969
71271,2009,276,1.0404,287.1504,-0.040460017
71271,2010,306.37,1.02,312.4974,0.088270816
71271,2011,285.29,1,285.29,-0.087064404
71271,2012,335.42,1,335.42,0.175715938
71271,2013,399.96,1,399.96,0.192415479
71271,2014,463.5,1,463.5,0.158865887
71271,2015,477.93,1,477.93,0.031132686
71271,2016,608.12,1,608.12,0.272403909
71271,2017,596.09,1,596.09,-0.01978228
71271,2018,623.32,1,623.32,0.045681021
71271,2019,799.57,1,799.57,0.282760059
71271,2020,603.69,1,603.69,-0.244981678
71271,2021,667.59,1,667.59,0.105849028
10137,2006,45.91,1,45.91,
10137,2007,63.61,1,63.61,0.38553692
10137,2008,33.86,1,33.86,-0.467693759
10137,2009,23.48,1,23.48,-0.306556409
10137,2010,24.24,1,24.24,0.032367973
10145,2006,45.24,1,45.24,
10145,2007,61.57,1,61.57,0.360963749
10145,2008,32.83,1,32.83,-0.466785772
10145,2009,39.2,1,39.2,0.194029851
10145,2010,53.16,1,53.16,0.356122449
10145,2011,54.35,1,54.35,0.022385252
10145,2012,63.47,1,63.47,0.167801288
10145,2013,91.37,1,91.37,0.439577753
10145,2014,99.92,1,99.92,0.093575572
10145,2015,103.57,1,103.57,0.036529223
10145,2016,115.85,1,115.85,0.118567153
10145,2017,153.36,1,153.36,0.323780751
10145,2018,132.12,1,132.12,-0.138497653
10145,2019,177,1,177,0.33969119
10145,2020,212.7,1,212.7,0.201694915
10145,2021,208.51,1,208.51,-0.019699107
90335,2006,23.04,1,23.04,
90335,2007,14.75,1,14.75,-0.359809028
90335,2008,5.5,1,5.5,-0.627118644
90335,2009,3.77,1,3.77,-0.314545455
90335,2010,7.09,1,7.09,0.880636605
41443,2006,60.48,1,60.48,
45911,2006,5.19,1,5.19,
45911,2007,9.04,1,9.04,0.741811175
45911,2008,8.36,1,8.36,-0.075221239
45911,2009,13.24,1,13.24,0.583732057
45911,2010,20.67,1,20.67,0.561178248
45911,2011,17.96,1,17.96,-0.131107886
45911,2012,23.56,1,23.56,0.311804009
45911,2013,24.84,1,24.84,0.054329372
45911,2014,58.05,1,58.05,1.336956522
45911,2015,84.21,1,84.21,0.450645995
45911,2016,76.14,1,76.14,-0.095831849
45911,2017,101.9,1,101.9,0.33832414
45911,2018,90.71,1,90.71,-0.109813543
45911,2019,79.25,1,79.25,-0.126336677
45911,2020,145.5,1,145.5,0.835962145
45911,2021,164.78,1,164.78,0.132508591
24643,2006,30.01,0.3333,10.002333,
24643,2007,36.55,0.3333,12.182115,0.217927358
24643,2008,11.26,0.3333,3.752958,-0.691928865
24643,2009,16.12,0.3333,5.372796,0.431616341
24643,2010,15.39,0.3333,5.129487,-0.04528536
24643,2011,8.65,0.3333,2.883045,-0.437946719
24643,2012,8.68,0.3333,2.893044,0.003468208
24643,2013,10.63,0.3333,3.542979,0.224654378
24643,2014,15.79,0.3333,5.262807,0.485418627
24643,2015,9.87,0.3333,3.289671,-0.374920836
28484,2006,49.57,1,49.57,
28484,2007,100.86,1,100.86,1.034698406
28484,2008,53.64,1,53.64,-0.468173706
28484,2009,60.5,1,60.5,0.127889635
28484,2010,76.54,1,76.54,0.265123967
28484,2011,56.8,1,56.8,-0.257904364
28484,2012,52.96,1,52.96,-0.067605634
28484,2013,83,1,83,0.567220544
28484,2014,73.82,1,73.82,-0.11060241
28484,2015,48.48,1,48.48,-0.343267407
28484,2016,62.29,1,62.29,0.284859736
28484,2017,47.47,1,47.47,-0.237919409
28484,2018,40.5,1,40.5,-0.146829577
28484,2019,66.81,1,66.81,0.64962963
28484,2020,52.79,1,52.79,-0.209848825
28484,2021,74.03,1,74.03,0.40234893
90893,2006,53.85,1,53.85,
90893,2007,14.71,1,14.71,-0.726833798
90893,2008,7.73,1,7.73,-0.474507138
90893,2009,4.84,1,4.84,-0.373868047
90893,2010,10.01,1,10.01,1.068181818
90893,2011,5.07,1,5.07,-0.493506494
90893,2012,13.5,1,13.5,1.662721893
81073,2006,69.99,1,69.99,
81073,2007,57.09,1,57.09,-0.184312045
81073,2008,33.53,1,33.53,-0.412681731
81073,2009,54.29,1,54.29,0.619147033
81073,2010,97,1,97,0.78670105
81073,2011,105.51,1,105.51,0.087731959
81073,2012,173.54,1,173.54,0.644773007
81073,2013,232.12,1,232.12,0.337559064
81073,2014,330.4,1,330.4,0.423401689
81073,2015,357.31,1,357.31,0.081446731
81073,2016,381.19,1,381.19,0.066832722
81073,2017,345.1,1,345.1,-0.094677195
81073,2018,371.51,1,371.51,0.076528542
81073,2019,290.55,1,290.55,-0.217921456
81073,2020,612.6,1,612.6,1.108415075
39482,2006,9.18,0.01,0.0918,
39482,2007,5,0.01,0.05,-0.455337691
39482,2008,1.8,0.01,0.018,-0.64
39482,2009,1.8,0.01,0.018,0
39482,2010,7.02,0.01,0.0702,2.9
39482,2011,4.8,0.01,0.048,-0.316239316
10225,2006,85.39,1,85.39,
10225,2007,72.36,1,72.36,-0.152593981
10225,2008,41.28,1,41.28,-0.429519071
10225,2009,43.2,1,43.2,0.046511628
10225,2010,60.25,1,60.25,0.394675926
10225,2011,51.23,1,51.23,-0.149709544
10225,2012,61.09,1,61.09,0.192465352
10225,2013,68.06,1,68.06,0.11409396
47730,2006,19.86,1,19.86,
47730,2007,23.52,1,23.52,0.18429003
47730,2008,16.33,1,16.33,-0.305697279
47730,2009,18.78,1,18.78,0.150030618
47730,2010,22.55,1,22.55,0.200745474
47730,2011,20.22,1,20.22,-0.103325942
47730,2012,19,1,19,-0.060336301
47730,2013,27.51,1,27.51,0.447894737
47730,2014,27.64,1,27.64,0.004725554
47730,2015,28.4,1,28.4,0.027496382
47730,2016,39.08,1,39.08,0.376056338
47730,2017,41.97,1,41.97,0.07395087
47730,2018,30.75,1,30.75,-0.26733381
47730,2019,36.46,1,36.46,0.185691057
47730,2020,34.72,1,34.72,-0.047723533
47730,2021,44.01,1,44.01,0.267569124
93330,2010,24.25,1,24.25,
93330,2011,23.24,1,23.24,-0.041649485
93330,2012,30.01,1,30.01,0.29130809
93330,2013,42.91,1,42.91,0.429856714
93330,2014,54.26,1,54.26,0.264507108
93330,2015,47.23,1,47.23,-0.129561371
93330,2016,69.15,1,69.15,0.464111793
93330,2017,101.55,1,101.55,0.468546638
93330,2018,97.71,1,97.71,-0.037813885
93330,2019,130.56,1,130.56,0.336198956
93330,2020,133.93,1,133.93,0.025811887
93330,2021,153.27,1,153.27,0.144403793
51916,2006,16.39,1,16.39,
51916,2007,16.84,1,16.84,0.027455766
51916,2008,16.62,1,16.62,-0.013064133
51916,2009,17.12,1,17.12,0.030084236
51916,2010,19.65,1,19.65,0.147780374
51916,2011,19.05,1,19.05,-0.030534351
51916,2012,21.7,1,21.7,0.139107612
51916,2013,18.33,1,18.33,-0.155299539
51916,2014,19.18,1,19.18,0.046372068
51916,2015,17.38,1,17.38,-0.093847758
51916,2016,18.89,1,18.89,0.086881473
51916,2017,19.55,1,19.55,0.034939121
51916,2018,17.92,1,17.92,-0.083375959
51916,2019,18.62,1,18.62,0.0390625
51916,2020,20.03,1,20.03,0.075725027
51916,2021,20.76,1,20.76,0.036445332
12758,2006,18.51,1,18.51,
12758,2007,23.48,1,23.48,0.268503512
12758,2008,20.23,1,20.23,-0.138415673
12758,2009,17.04,1,17.04,-0.157686604
12758,2010,17.38,1,17.38,0.019953052
12758,2011,18.78,1,18.78,0.080552359
12758,2012,23.54,1,23.54,0.253461129
12758,2013,37.102,1,37.102,0.576125743
12758,2014,40.12,1,40.12,0.081343324
12758,2015,36.44,1,36.44,-0.091724826
12758,2016,49.15,1,49.15,0.348792536
12758,2017,51,1,51,0.037639878
12758,2018,62.98,1,62.98,0.234901961
12758,2019,57.91,1,57.91,-0.080501747
12758,2020,36.33,1,36.33,-0.372647211
12758,2021,31.94,1,31.94,-0.120836774
24109,2006,42.58,1,42.58,
24109,2007,46.56,1,46.56,0.093471113
24109,2008,33.28,1,33.28,-0.285223368
24109,2009,34.79,1,34.79,0.045372596
24109,2010,35.98,1,35.98,0.034205231
24109,2011,41.31,1,41.31,0.148137854
24109,2012,42.68,1,42.68,0.033163883
24109,2013,46.74,1,46.74,0.095126523
24109,2014,60.72,1,60.72,0.299101412
24109,2015,58.27,1,58.27,-0.040349144
24109,2016,62.96,1,62.96,0.080487386
24109,2017,73.57,1,73.57,0.168519695
24109,2018,74.74,1,74.74,0.015903221
24109,2019,94.51,1,94.51,0.264516992
24109,2020,83.27,1,83.27,-0.118929214
24109,2021,88.97,1,88.97,0.068452024
88851,2006,0.41,1,0.41,
59176,2006,60.67,1,60.67,
59176,2007,52.02,1,52.02,-0.142574584
59176,2008,18.55,1,18.55,-0.643406382
59176,2009,40.52,1,40.52,1.184366577
59176,2010,42.92,1,42.92,0.05923001
59176,2011,47.17,1,47.17,0.099021435
59176,2012,57.48,1,57.48,0.218571126
59176,2013,90.73,1,90.73,0.578462074
59176,2014,93.04,1,93.04,0.025460157
59176,2015,69.55,1,69.55,-0.252472055
59176,2016,74.08,1,74.08,0.065132998
59176,2017,99.31,1,99.31,0.340577754
59176,2018,95.32,1,95.32,-0.040177223
59176,2019,124.49,1,124.49,0.306021821
59176,2020,120.91,1,120.91,-0.02875733
59176,2021,163.6,1,163.6,0.353072533
57904,2006,46,2,92,
57904,2007,62.63,2,125.26,0.361521739
57904,2008,45.84,2,91.68,-0.268082389
57904,2009,46.25,2,92.5,0.008944154
57904,2010,56.43,2,112.86,0.220108108
57904,2011,43.26,2,86.52,-0.233386497
57904,2012,53.12,2,106.24,0.227924179
57904,2013,66.8,2,133.6,0.25753012
