LPERMNO,year,stand_dev
10952,2008,0.042444578
10952,2009,0.062929782
10952,2010,0.026074914
10952,2011,0.033204129
10952,2012,0.019766822
10952,2013,0.016550046
10952,2014,0.012262274
10952,2015,0.014035329
10952,2016,0.015975589
10952,2017,0.015688658
10952,2018,0.025092478
10952,2019,0.024637293
10952,2020,0.075744362
10952,2021,0.026241827
10974,2006,0.009594026
10974,2007,0.014695136
10974,2008,0.023810251
10984,2006,0.068988154
11003,2010,0.010411212
11003,2011,0.015918507
11003,2012,0.016668677
11003,2013,0.013324614
11003,2014,0.016026281
11003,2015,0.045468678
11003,2016,0.040241612
11003,2017,0.012295984
11003,2018,0.015504021
11006,2006,0.010209512
11006,2007,0.021150581
11006,2008,0.022554364
11006,2009,0.020794634
11006,2010,0.015960248
11006,2011,0.024056865
11006,2012,0.012260156
11006,2013,0.011809833
